Fecha;Departamento;Municipio;Día;Hora;Barrio;MES;Zona;Clase de sitio;Arma empleada;Móvil Victima;MOVIL_AGRESOR;Edad;Estado civil;País de nacimiento;Clase de empleado;Profesión;Escolaridad;Código DANE;GENERO;DESCRIPCION_CONDUCTA;Cantidad
1/01/2022;ANTIOQUIA;AMALFI;Sábado;17:44:00;NARANJITO;ene.;RURAL;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;A PIE;43;SOLTERO;COLOMBIA;EMPLEADO PARTICULAR;-;SECUNDARIA;5031000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ANTIOQUIA;ANDES;Sábado;0:40:00;SAN AGUSTIN;ene.;RURAL;FINCAS Y SIMILARES;ARMA DE FUEGO;A PIE;A PIE;35;SOLTERO;COLOMBIA;EMPLEADO PARTICULAR;-;SECUNDARIA;5034000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ANTIOQUIA;BELLO;Sábado;5:00:00;VDA. EL PINAR;ene.;URBANA;CARRETERA;ARMA DE FUEGO;A PIE;A PIE;22;SOLTERO;COLOMBIA;ESTUDIANTE;-;SECUNDARIA;5088000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ANTIOQUIA;MEDELLÍN (CT);Sábado;16:00:00;LA CRUZ C-3;ene.;URBANA;CASAS DE HABITACION;ARMA BLANCA / CORTOPUNZANTE;A PIE;A PIE;32;UNION LIBRE;COLOMBIA;INDEPENDIENTE;-;ANALFABETA;5001000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ANTIOQUIA;PUERTO BERRÍO;Sábado;18:40:00;PUENTE MONUMENTAL;ene.;URBANA;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;A PIE;20;SOLTERO;COLOMBIA;EMPLEADO PARTICULAR;-;PRIMARIA;5579000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ANTIOQUIA;PUERTO BERRÍO;Sábado;18:40:00;PUENTE MONUMENTAL;ene.;URBANA;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;A PIE;21;SOLTERO;COLOMBIA;EMPLEADO PARTICULAR;-;PRIMARIA;5579000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ANTIOQUIA;RETIRO;Sábado;5:30:00;EL PORTENTO;ene.;RURAL;CASAS DE HABITACION;CONTUNDENTES;A PIE;A PIE;32;SOLTERO;COLOMBIA;AGRICULTOR;-;SECUNDARIA;5607000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ANTIOQUIA;VEGACHÍ;Sábado;15:20:00;PRINCIPAL;ene.;URBANA;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;A PIE;51;CASADO;COLOMBIA;EMPLEADO PARTICULAR;-;SECUNDARIA;5858000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ATLÁNTICO;BARRANQUILLA (CT);Sábado;16:30:00;MONTES;ene.;URBANA;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;A PIE;36;SOLTERO;COLOMBIA;EMPLEADO PARTICULAR;-;SECUNDARIA;8001000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ATLÁNTICO;BARRANQUILLA (CT);Sábado;5:30:00;LAS MALVINAS;ene.;URBANA;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;PASAJERO MOTOCICLETA;27;SOLTERO;COLOMBIA;INDEPENDIENTE;-;PRIMARIA;8001000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ATLÁNTICO;BARRANQUILLA (CT);Sábado;4:40:00;BUENA ESPERANZA;ene.;URBANA;CASAS DE HABITACION;ARMA DE FUEGO;A PIE;A PIE;33;UNION LIBRE;COLOMBIA;EMPLEADO PARTICULAR;-;SECUNDARIA;8001000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
1/01/2022;ATLÁNTICO;BARRANQUILLA (CT);Sábado;6:48:00;MEQUEJO;ene.;URBANA;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;A PIE;18;SOLTERO;COLOMBIA;INDEPENDIENTE;-;SECUNDARIA;8001000;MASCULINO;ARTÍCULO 103. HOMICIDIO;1
