FECHA,DIA,HORA,BARRIO,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,MOVIL_VICTIMA,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,ESCOLARIDAD,DESCRIPCION_CONDUCTA
2010-01-09,Sábado,15:00:00,EL PROGRESO E-14,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,33,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-01-11,Lunes,07:00:00,NARIÑO SUR E-4,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,52,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-01-14,Jueves,07:00:00,LA FLORESTA NORTE E-11,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,33,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-01-17,Domingo,07:00:00,QUIRINAL E-13,URBANA,CASAS DE HABITACION,REDES SOCIALES,-,27,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,TECNICO,ARTÍCULO 244. EXTORSIÓN
2010-01-23,Sábado,10:30:00,-,URBANA,VIAS PUBLICAS,DIRECTA,-,26,NO REPORTA,COLOMBIA,COMERCIANTE,NO REPORTADO,ARTÍCULO 244. EXTORSIÓN
2010-01-27,Miércoles,07:00:00,CASTILLA LA NUEVA E-8,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,53,UNION LIBRE,COLOMBIA,COMERCIANTE,SUPERIOR,ARTÍCULO 244. EXTORSIÓN
2010-01-27,Miércoles,07:00:00,DIANA TURBAY E-18,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,49,UNION LIBRE,COLOMBIA,COMERCIANTE,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2010-02-01,Lunes,07:00:00,SANTA RITA I SECTOR E-16,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,31,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA,ARTÍCULO 244. EXTORSIÓN
2010-02-06,Sábado,17:00:00,-,URBANA,ALMACENES,NO REPORTADO,-,32,CASADO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-02-08,Lunes,10:00:00,CIUDAD SALITRE I E-9,URBANA,CASAS DE HABITACION,NO REPORTADO,-,42,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-02-10,Miércoles,08:00:00,EL TUNAL E-6,URBANA,CASAS DE HABITACION,LLAMADA TELEFONICA,-,54,UNION LIBRE,COLOMBIA,PENSIONADO,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-02-10,Miércoles,09:00:00,SAN RAFAEL OBRERO E-16,URBANA,CENTRO COMERCIAL,DIRECTA,-,36,UNION LIBRE,COLOMBIA,COMERCIANTE,SECUNDARIA,ARTÍCULO 244. EXTORSIÓN
2010-02-11,Jueves,10:30:00,-,URBANA,VIAS PUBLICAS,NO REPORTADO,-,44,NO REPORTA,-,COMERCIANTE,NO REPORTADO,ARTÍCULO 244. EXTORSIÓN
