FECHA,DIA,HORA,BARRIO,MES,ZONA,CLASE_DE_SITIO,ARMA_EMPLEADA,Móvil Agresor,MOVIL_VICTIMA,EDAD,ESTADO_CIVIL,PAIS_NACIMIENTO,CLASE_EMPLEADO,PROFESION,ESCOLARIDAD,Genero,DESCRIPCION_CONDUCTA
2010-04-19,Lunes,20:00:00,INGLES E-18,abr.,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,4.0,SOLTERO,-,NO REPORTA,-,-,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2010-05-16,Domingo,23:00:00,TENERIFE E-5,may.,URBANA,VIAS PUBLICAS,NO REPORTADO,-,-,26.0,SOLTERO,COLOMBIA,NO REPORTA,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2010-05-17,Lunes,03:30:00,-,may.,URBANA,PUENTE PEATONAL,-,CONDUCTOR TAXI,A PIE,14.0,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2010-06-02,Miércoles,14:00:00,DANUBIO DEL SUR E-18,jun.,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,16.0,SOLTERO,COLOMBIA,NO REPORTA,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2010-06-07,Lunes,21:20:00,FONTIBON CENTRO E-9,jun.,URBANA,VIAS PUBLICAS,NO REPORTADO,-,-,23.0,UNION LIBRE,COLOMBIA,NO REPORTA,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2010-08-25,Miércoles,08:00:00,-,ago.,URBANA,VIAS PUBLICAS,NO REPORTADO,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,30.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SUPERIOR,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2010-09-17,Viernes,18:00:00,OCHO DE DICIEMBRE E-19,sep.,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,52.0,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2010-09-21,Martes,09:30:00,SANTA ISABEL E-14,sep.,URBANA,CASINOS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,23.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2010-09-21,Martes,09:30:00,SANTA ISABEL E-14,sep.,URBANA,CASINOS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31.0,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,FEMENINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
2010-09-25,Sábado,10:30:00,PRIMERO DE MAYO E-4,sep.,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,-,-,18.0,CASADO,COLOMBIA,COMERCIANTE,-,-,MASCULINO,ARTÍCULO 169. SECUESTRO EXTORSIVO
